term,corpus_count,School,Field,Year,PDF,left_context,matched_term,right_context
tanaka,65,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,Ofﬁcer GIS Expert Ms Ayako,Tanaka,local consultant and the DivisionalSecretariats
kuramoto,48,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,en Nomura Y Okamoto A,Kuramoto,K Ikeda H 2014 Landslide
pore,47,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,become unstable especially as excessive,pore,water pressure increasesduring heavy or
moreno,43,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,J Eakin H Castillejos T,Moreno,J G Pinto L S
wai,38,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,WaterManagement Institute IWMI Li X,Wai,W H Onyx Li Y
kuo,37,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,20Index_revised pdf Lin G W,Kuo,H L Chen C W
hui,36,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,kits and developing a vaccine,Hui,et al 2020 Countries around
pii,35,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,sciencedirect com science article abs,pii,S2452223617300524 via 3Dihub Accessed February
teo,33,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,reduction Saja A M A,Teo,M Goonetilleke A Ziyath A
tonga,30,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,South Paciﬁc Tsunami in the,Tonga,Trench arrived in Tonga Samoa
nee,29,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,doi org 10 4000 mediterra,nee,10078 Del Moral L Do
nakamura,29,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,situation Gero et al 2011,Nakamura,et al 2017 Niekerk et
kato,27,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,recovery through the tourism industry,Kato,2018 and settlement planning Miller
hea,26,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,https doi org 10 1093,hea,pol czx108 Stuart E A
mena,26,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,Senegal World Bank 2020 and,MENA,region which incorporate V egetation
nge,24,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,Zar Chi T M Cha,Nge,S K Phaw N K
ua,23,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,diseasecontrol_eme rgencies guidelines CD_Disasters_26_06 pdf,ua,1 20 Accessed March 17
amo,21,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,oscillations ENSO Atlantic Multidecadal Oscillations,AMO,Paciﬁc decadal Oscillations PDO the
ona,21,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,Interview guidelines were developed based,ona,detailed literature review carried out
nakano,20,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,338 Osanai Y Sajeev K,Nakano,N Kitano I Kehelpannala W
mani,20,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,settlements and disaster danger zones,Mani,et al 2019 not minding
mori,20,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,7 7 South Java Jim,Mori,et al 2007 28 03
tapia,20,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,Caragea C Squicciarini A C,Tapia,A H 2015 Twitter mining
merino,19,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,158 172 Aguirre Ayerbe I,Merino,M Aye S L Dissanayake
rana,18,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,J P Dwivedi Y K,Rana,N P Kumar A Kapoor
mata,18,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,S Huq S Lenhart L,Mata,I Nemešová S Toure Eds
romano,17,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,101 Cecioni C Bellotti G,Romano,A Abdolali A Sammarco P
repo,17,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,https apps who int disasters,repo,7656 pdf Accessed March 5
hei,16,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,R I carried out by,HEI,s and even existing policies
romano,17,SBE,Built_Environment,2021,instructional_mechanisms_in_immersive_virtual_reality_serious_games_2021.pdf,poor performance for knowledge gain,Romano,Brna 2001 Trainees might get
hao,75,SBE,Built_Environment,2021,research_and_innovation_in_the_context_of_disaster_resilience_in_the_sri_lankan_higher_education_sector_2021.pdf,2014 predictions and early warning,Hao,et al 2014 impacts Liu
ao,66,SBE,Built_Environment,2021,research_and_innovation_in_the_context_of_disaster_resilience_in_the_sri_lankan_higher_education_sector_2021.pdf,the reception centers in V,ao,and V ägeva for some
tanaka,65,SBE,Built_Environment,2021,research_and_innovation_in_the_context_of_disaster_resilience_in_the_sri_lankan_higher_education_sector_2021.pdf,Ofﬁcer GIS Expert Ms Ayako,Tanaka,local consultant and the DivisionalSecretariats
kuramoto,48,SBE,Built_Environment,2021,research_and_innovation_in_the_context_of_disaster_resilience_in_the_sri_lankan_higher_education_sector_2021.pdf,en Nomura Y Okamoto A,Kuramoto,K Ikeda H 2014 Landslide
pore,47,SBE,Built_Environment,2021,research_and_innovation_in_the_context_of_disaster_resilience_in_the_sri_lankan_higher_education_sector_2021.pdf,become unstable especially as excessive,pore,water pressure increasesduring heavy or
wai,38,SBE,Built_Environment,2021,research_and_innovation_in_the_context_of_disaster_resilience_in_the_sri_lankan_higher_education_sector_2021.pdf,WaterManagement Institute IWMI Li X,Wai,W H Onyx Li Y
kuo,37,SBE,Built_Environment,2021,research_and_innovation_in_the_context_of_disaster_resilience_in_the_sri_lankan_higher_education_sector_2021.pdf,20Index_revised pdf Lin G W,Kuo,H L Chen C W
pii,35,SBE,Built_Environment,2021,research_and_innovation_in_the_context_of_disaster_resilience_in_the_sri_lankan_higher_education_sector_2021.pdf,sciencedirect com science article abs,pii,S2452223617300524 via 3Dihub Accessed February
teo,33,SBE,Built_Environment,2021,research_and_innovation_in_the_context_of_disaster_resilience_in_the_sri_lankan_higher_education_sector_2021.pdf,reduction Saja A M A,Teo,M Goonetilleke A Ziyath A
tonga,30,SBE,Built_Environment,2021,research_and_innovation_in_the_context_of_disaster_resilience_in_the_sri_lankan_higher_education_sector_2021.pdf,South Paciﬁc Tsunami in the,Tonga,Trench arrived in Tonga Samoa
nee,29,SBE,Built_Environment,2021,research_and_innovation_in_the_context_of_disaster_resilience_in_the_sri_lankan_higher_education_sector_2021.pdf,doi org 10 4000 mediterra,nee,10078 Del Moral L Do
nakamura,29,SBE,Built_Environment,2021,research_and_innovation_in_the_context_of_disaster_resilience_in_the_sri_lankan_higher_education_sector_2021.pdf,situation Gero et al 2011,Nakamura,et al 2017 Niekerk et
kato,27,SBE,Built_Environment,2021,research_and_innovation_in_the_context_of_disaster_resilience_in_the_sri_lankan_higher_education_sector_2021.pdf,recovery through the tourism industry,Kato,2018 and settlement planning Miller
hea,26,SBE,Built_Environment,2021,research_and_innovation_in_the_context_of_disaster_resilience_in_the_sri_lankan_higher_education_sector_2021.pdf,https doi org 10 1093,hea,pol czx108 Stuart E A
mena,26,SBE,Built_Environment,2021,research_and_innovation_in_the_context_of_disaster_resilience_in_the_sri_lankan_higher_education_sector_2021.pdf,Senegal World Bank 2020 and,MENA,region which incorporate V egetation
nge,24,SBE,Built_Environment,2021,research_and_innovation_in_the_context_of_disaster_resilience_in_the_sri_lankan_higher_education_sector_2021.pdf,Zar Chi T M Cha,Nge,S K Phaw N K
ua,23,SBE,Built_Environment,2021,research_and_innovation_in_the_context_of_disaster_resilience_in_the_sri_lankan_higher_education_sector_2021.pdf,diseasecontrol_eme rgencies guidelines CD_Disasters_26_06 pdf,ua,1 20 Accessed March 17
amo,21,SBE,Built_Environment,2021,research_and_innovation_in_the_context_of_disaster_resilience_in_the_sri_lankan_higher_education_sector_2021.pdf,oscillations ENSO Atlantic Multidecadal Oscillations,AMO,Paciﬁc decadal Oscillations PDO the
ona,21,SBE,Built_Environment,2021,research_and_innovation_in_the_context_of_disaster_resilience_in_the_sri_lankan_higher_education_sector_2021.pdf,Interview guidelines were developed based,ona,detailed literature review carried out
nakano,20,SBE,Built_Environment,2021,research_and_innovation_in_the_context_of_disaster_resilience_in_the_sri_lankan_higher_education_sector_2021.pdf,338 Osanai Y Sajeev K,Nakano,N Kitano I Kehelpannala W
mani,20,SBE,Built_Environment,2021,research_and_innovation_in_the_context_of_disaster_resilience_in_the_sri_lankan_higher_education_sector_2021.pdf,settlements and disaster danger zones,Mani,et al 2019 not minding
mori,20,SBE,Built_Environment,2021,research_and_innovation_in_the_context_of_disaster_resilience_in_the_sri_lankan_higher_education_sector_2021.pdf,7 7 South Java Jim,Mori,et al 2007 28 03
tapia,20,SBE,Built_Environment,2021,research_and_innovation_in_the_context_of_disaster_resilience_in_the_sri_lankan_higher_education_sector_2021.pdf,Caragea C Squicciarini A C,Tapia,A H 2015 Twitter mining
merino,19,SBE,Built_Environment,2021,research_and_innovation_in_the_context_of_disaster_resilience_in_the_sri_lankan_higher_education_sector_2021.pdf,158 172 Aguirre Ayerbe I,Merino,M Aye S L Dissanayake
rana,18,SBE,Built_Environment,2021,research_and_innovation_in_the_context_of_disaster_resilience_in_the_sri_lankan_higher_education_sector_2021.pdf,J P Dwivedi Y K,Rana,N P Kumar A Kapoor
mata,18,SBE,Built_Environment,2021,research_and_innovation_in_the_context_of_disaster_resilience_in_the_sri_lankan_higher_education_sector_2021.pdf,S Huq S Lenhart L,Mata,I Nemešová S Toure Eds
repo,17,SBE,Built_Environment,2021,research_and_innovation_in_the_context_of_disaster_resilience_in_the_sri_lankan_higher_education_sector_2021.pdf,https apps who int disasters,repo,7656 pdf Accessed March 5
hei,16,SBE,Built_Environment,2021,research_and_innovation_in_the_context_of_disaster_resilience_in_the_sri_lankan_higher_education_sector_2021.pdf,R I carried out by,HEI,s and even existing policies
tanaka,65,SBE,Built_Environment,2021,the_relationship_between_covid_19_preparedness_parameters_and_its_impact_in_developing_effective_response_mechanisms_2021.pdf,Ofﬁcer GIS Expert Ms Ayako,Tanaka,local consultant and the DivisionalSecretariats
kuramoto,48,SBE,Built_Environment,2021,the_relationship_between_covid_19_preparedness_parameters_and_its_impact_in_developing_effective_response_mechanisms_2021.pdf,en Nomura Y Okamoto A,Kuramoto,K Ikeda H 2014 Landslide
pore,47,SBE,Built_Environment,2021,the_relationship_between_covid_19_preparedness_parameters_and_its_impact_in_developing_effective_response_mechanisms_2021.pdf,become unstable especially as excessive,pore,water pressure increasesduring heavy or
wai,38,SBE,Built_Environment,2021,the_relationship_between_covid_19_preparedness_parameters_and_its_impact_in_developing_effective_response_mechanisms_2021.pdf,WaterManagement Institute IWMI Li X,Wai,W H Onyx Li Y
kuo,37,SBE,Built_Environment,2021,the_relationship_between_covid_19_preparedness_parameters_and_its_impact_in_developing_effective_response_mechanisms_2021.pdf,20Index_revised pdf Lin G W,Kuo,H L Chen C W
nakamura,29,SBE,Built_Environment,2021,the_relationship_between_covid_19_preparedness_parameters_and_its_impact_in_developing_effective_response_mechanisms_2021.pdf,situation Gero et al 2011,Nakamura,et al 2017 Niekerk et
kato,27,SBE,Built_Environment,2021,the_relationship_between_covid_19_preparedness_parameters_and_its_impact_in_developing_effective_response_mechanisms_2021.pdf,recovery through the tourism industry,Kato,2018 and settlement planning Miller
mena,26,SBE,Built_Environment,2021,the_relationship_between_covid_19_preparedness_parameters_and_its_impact_in_developing_effective_response_mechanisms_2021.pdf,Senegal World Bank 2020 and,MENA,region which incorporate V egetation
nge,24,SBE,Built_Environment,2021,the_relationship_between_covid_19_preparedness_parameters_and_its_impact_in_developing_effective_response_mechanisms_2021.pdf,Zar Chi T M Cha,Nge,S K Phaw N K
amo,21,SBE,Built_Environment,2021,the_relationship_between_covid_19_preparedness_parameters_and_its_impact_in_developing_effective_response_mechanisms_2021.pdf,oscillations ENSO Atlantic Multidecadal Oscillations,AMO,Paciﬁc decadal Oscillations PDO the
ona,21,SBE,Built_Environment,2021,the_relationship_between_covid_19_preparedness_parameters_and_its_impact_in_developing_effective_response_mechanisms_2021.pdf,Interview guidelines were developed based,ona,detailed literature review carried out
nakano,20,SBE,Built_Environment,2021,the_relationship_between_covid_19_preparedness_parameters_and_its_impact_in_developing_effective_response_mechanisms_2021.pdf,338 Osanai Y Sajeev K,Nakano,N Kitano I Kehelpannala W
mori,20,SBE,Built_Environment,2021,the_relationship_between_covid_19_preparedness_parameters_and_its_impact_in_developing_effective_response_mechanisms_2021.pdf,7 7 South Java Jim,Mori,et al 2007 28 03
tapia,20,SBE,Built_Environment,2021,the_relationship_between_covid_19_preparedness_parameters_and_its_impact_in_developing_effective_response_mechanisms_2021.pdf,Caragea C Squicciarini A C,Tapia,A H 2015 Twitter mining
merino,19,SBE,Built_Environment,2021,the_relationship_between_covid_19_preparedness_parameters_and_its_impact_in_developing_effective_response_mechanisms_2021.pdf,158 172 Aguirre Ayerbe I,Merino,M Aye S L Dissanayake
rana,18,SBE,Built_Environment,2021,the_relationship_between_covid_19_preparedness_parameters_and_its_impact_in_developing_effective_response_mechanisms_2021.pdf,J P Dwivedi Y K,Rana,N P Kumar A Kapoor
mata,18,SBE,Built_Environment,2021,the_relationship_between_covid_19_preparedness_parameters_and_its_impact_in_developing_effective_response_mechanisms_2021.pdf,S Huq S Lenhart L,Mata,I Nemešová S Toure Eds
repo,17,SBE,Built_Environment,2021,the_relationship_between_covid_19_preparedness_parameters_and_its_impact_in_developing_effective_response_mechanisms_2021.pdf,https apps who int disasters,repo,7656 pdf Accessed March 5
hei,16,SBE,Built_Environment,2021,the_relationship_between_covid_19_preparedness_parameters_and_its_impact_in_developing_effective_response_mechanisms_2021.pdf,R I carried out by,HEI,s and even existing policies
neri,27,SBE,Built_Environment,2021,what_makes_a_successful_livelihood_recovery_2021.pdf,3 Régnier P Gaillard JC,Neri,B Scuteri S Miniati S
ature,17,SBE,Built_Environment,2022,3d_scanning_as_an_architectural_tool_2022.pdf,what was in the liter,ature,that the shopping experience was
arora,19,SBE,Built_Environment,2022,an_integrated_approach_for_municipal_buried_infrastructure_asset_management_2022.pdf,the user interaction As Dowman,Arora,2012 emphasized by using BIM
ani,54,SBE,Built_Environment,2022,a_review_of_using_augmented_reality_to_improve_construction_productivity_2022.pdf,equipped with a projector Deg,ani,et al 2019 Most prototypes
ree,38,SBE,Built_Environment,2022,a_review_of_using_augmented_reality_to_improve_construction_productivity_2022.pdf,productivity These experiments tested th,ree,construction activities progress management discrepancy
mora,33,SBE,Built_Environment,2022,a_review_of_using_augmented_reality_to_improve_construction_productivity_2022.pdf,Golparvar Fard M Peñ a,Mora,F Savarese S 2011 Integrated
moreira,22,SBE,Built_Environment,2022,a_review_of_using_augmented_reality_to_improve_construction_productivity_2022.pdf,L Malaca P Costa P,Moreira,A P Sousa A Veiga
ake,19,SBE,Built_Environment,2022,a_sequence_analysis_of_behaviors_in_immersive_virtual_reality_for_indoor_earthquake_and_post_earthquake_evacuation_2022.pdf,their thoughts rather than m,ake,efforts to explain them concurrent
mana,69,SBE,Built_Environment,2022,building_information_modelling_in_quantity_surveying_practices_2022.pdf,amp the 5D Project Cost,Mana,ger Procedia Social and Behavioral
ani,54,SBE,Built_Environment,2022,challenges_of_offsite_construction_and_bim_implementation_2022.pdf,oject Naz anin K ordest,ani,Ghalehnoei Masse y Univ ersity
niu,34,SBE,Built_Environment,2022,challenges_of_offsite_construction_and_bim_implementation_2022.pdf,Xu Z Zayed T and,Niu,Y 2020 Comparative analysis of
ite,28,SBE,Built_Environment,2022,challenges_of_offsite_construction_and_bim_implementation_2022.pdf,its effect on off s,ite,construction in UK civil engineering
moreira,22,SBE,Built_Environment,2022,climate_change_impacts_on_built_environment_2022.pdf,AS Pereira de Lucena AF,Moreira,Cesar Borba BS Pupo Nogueira
hoai,22,SBE,Built_Environment,2022,conceptualising_a_framework_for_construction_sector_capacity_2022.pdf,Construction Sector Capacity An Thi,Hoai,Le1 Niluka Domingo1 Casimir MacGregor2
ina,53,SBE,Built_Environment,2022,creating_a_case_for_innovation_acceleration_in_the_new_zealand_building_industry_2022.pdf,and convert them into practice,ina,systematic way The qualitative evidence
kiwi,25,SBE,Built_Environment,2022,creating_a_case_for_innovation_acceleration_in_the_new_zealand_building_industry_2022.pdf,Conway P 2018 Can the,kiwi,ﬂy Achieving productivity lift off
hoai,22,SBE,Built_Environment,2022,developing_a_framework_for_construction_sector_capacity_2022.pdf,Construction Sector Capacity An Thi,Hoai,Le1 Niluka Domingo1 Casimir MacGregor2
neto,20,SBE,Built_Environment,2022,development_and_analysis_of_an_automated_performance_code_checking_workflow_2022.pdf,regulation and processing times MAINARDI,NETO,2016 Another critical procedure in
aia,18,SBE,Built_Environment,2022,development_and_analysis_of_an_automated_performance_code_checking_workflow_2022.pdf,Exhibit 2013 Available http www,aia,org aiaucmp groups aia documents
kiwi,25,SBE,Built_Environment,2022,exploring_off_site_construction_and_building_information_modelling_integration_challenges_2022.pdf,24 With the advent of,Kiwi,Build and renewed government focus
mori,20,SBE,Built_Environment,2022,exploring_off_site_construction_and_building_information_modelling_integration_challenges_2022.pdf,indoor LED light applications Shigehiko,Mori,Takeshi Gotanda Yoshihiko Nakano et
nga,23,SBE,Construction_Management,2012,a_framework_for_sub_contractor_integration_in_alliance_contracts_2012.pdf,and the Northern Gateway Alliance,NGA,for granting permission to publish
ete,20,SBE,Construction_Management,2012,a_framework_for_sub_contractor_integration_in_alliance_contracts_2012.pdf,built from 468 precast concr,ete,sections constructed off site and
ona,21,SBE,Construction_Management,2012,contemporary_issues_in_building_collapse_and_its_implications_for_sustainable_development_2012.pdf,June 1986 Undecided Unknown 17,Ona,Street Unugu Anambra State Residential
oke,18,SBE,Construction_Management,2012,contemporary_issues_in_building_collapse_and_its_implications_for_sustainable_development_2012.pdf,workmanship structural failure 10 37,Oke,Igbala Mosadoluwa Close Ogba Lagos
mau,114,SBE,Construction_Management,2012,securing_best_prices_for_construction_materials_2012.pdf,material inputs References Abdul malak,MAU,Nadim EA Ghassan RC 2000
materi,16,SBE,Construction_Management,2012,securing_best_prices_for_construction_materials_2012.pdf,especially the cost of the,materi,als Domone and Illston 2010
ree,38,SBE,Construction_Management,2012,strategy_led_construction_2012.pdf,was selected due to th,ree,reasons no control was needed
materi,16,SBE,Construction_Management,2012,supplier_selection_in_the_construction_material_purchasing_function_2012.pdf,should be implemented for the,materi,al considered and this should
reiterate,16,SBE,Construction_Management,2013,a_framework_for_identifying_construction_companies_best_practice_2013.pdf,Aalbregtse Hejka and McNeley 1991,reiterate,the reasons for having fra
ima,30,SBE,Construction_Management,2013,determining_the_magnitude_of_transaction_costs_in_construction_procurement_systems_2013.pdf,DMA and indirect measure approach,IMA,to predict theoretically the amount
wou,18,SBE,Construction_Management,2013,determining_the_magnitude_of_transaction_costs_in_construction_procurement_systems_2013.pdf,and alliances This way it,wou,ld be possible to eliminate
amo,21,SBE,Construction_Management,2013,evaluating_the_effectiveness_of_construction_payment_provisions_in_new_zealand_2013.pdf,consists of rationally distributed views,amo,ngst main industry groups and
mana,69,SBE,Construction_Management,2013,the_effects_of_business_environments_on_corporate_strategies_and_performance_of_construction_organisations_2013.pdf,the major concerns in strategic,mana,gement literature has been the
ake,19,SBE,Construction_Management,2013,the_effects_of_business_environments_on_corporate_strategies_and_performance_of_construction_organisations_2013.pdf,fall back is to m,ake,the most and effective use
natu,19,SBE,Construction_Management,2014,adequacy_of_ventilation_systems_2014.pdf,cannot be controlled For example,natu,ral ventilations systems may under
puri,90,SBE,Construction_Management,2014,an_acd_diagram_developed_for_simulating_a_bridge_construction_operation_2014.pdf,and economical completion of projects,Puri,2012 Project planners therefore need
puri,90,SBE,Construction_Management,2014,developing_activity_cycled_based_diagram_for_simulating_a_bridge_construction_operation_2014.pdf,and economical completion of projects,Puri,2012 Project planners would therefore
mana,69,SBE,Construction_Management,2014,developing_a_holistic_risk_management_plan_in_mitigating_flooding_risks_for_buildings_adjacent_to_the_swan_river_in_perth_western_australia_2014.pdf,builders a nd contractors project,mana,gers hydraulic engineers and academics
pape,18,SBE,Construction_Management,2014,developing_a_holistic_risk_management_plan_in_mitigating_flooding_risks_for_buildings_adjacent_to_the_swan_river_in_perth_western_australia_2014.pdf,to contextualize the research This,pape,r presents the current progress
manawatu,67,SBE,Construction_Management,2014,improving_environmental_management_legislation_to_facilitate_post_disaster_reconstruction_2014.pdf,during reconstruction works in the,Manawatu,floods of 2004 Tonkin and
porirua,52,SBE,Construction_Management,2014,improving_environmental_management_legislation_to_facilitate_post_disaster_reconstruction_2014.pdf,Ed E387 pp 1 17,Porirua,BRANZ Limited Quarantelli E L
rii,23,SBE,Construction_Management,2014,reasons_for_contractors_delay_claims_failures_in_sri_lanka_2014.pdf,statistics and Relative Importance Index,RII,The study found that time
puri,90,SBE,Construction_Management,2014,the_power_of_technology_in_bridge_construction_project_management_2014.pdf,2002 Taylor Franci s 4,Puri,V Incorporation of continuous activities
aia,18,SBE,Construction_Management,2015,analysis_of_the_influence_of_a_strategy_led_planning_approach_on_successful_construction_project_implementation_2015.pdf,technology into construction practice s,AIA,2007 Griloa and Ja rdim
kao,21,SBE,Construction_Management,2015,an_empirical_analysis_of_construction_organisations_competitive_strategies_and_performance_2015.pdf,D Larsen G D and,Kao,C 2008 Competitive strategy revisited
irani,17,SBE,Construction_Management,2015,an_ontology_based_web_service_framework_for_construction_supply_chain_collaboration_and_management_2015.pdf,Love P E D and,Irani,Z 2001 An e business
kaka,19,SBE,Construction_Management,2015,causes_of_payment_problems_in_the_new_zealand_construction_industry_2015.pdf,during work progress Motawa and,Kaka,2009 Ye and Rahman 2010
reiterate,16,SBE,Construction_Management,2015,enhanced_project_brief_2015.pdf,Al Zarooni et al 2011,reiterate,the importance of briefing for
mena,26,SBE,Construction_Management,2015,estimating_transaction_costs_in_the_new_zealand_construction_procurement_2015.pdf,M Ringle C M and,Mena,J A 2012 An assessment
porirua,52,SBE,Construction_Management,2015,evaluating_defect_reporting_in_new_residential_buildings_in_new_zealand_2015.pdf,2025 BRANZ Research Report BRANZ,Porirua,New Zealand 2009 10 Sommerville
repo,17,SBE,Construction_Management,2015,evaluating_defect_reporting_in_new_residential_buildings_in_new_zealand_2015.pdf,of building inspec tion defect,repo,rting for new homes cannot
ature,17,SBE,Construction_Management,2015,evaluating_defect_reporting_in_new_residential_buildings_in_new_zealand_2015.pdf,rther a review of liter,ature,on the subject matter Buildings
mana,69,SBE,Construction_Management,2015,managing_critical_factors_causing_delays_in_public_construction_projects_in_kingdom_of_saudi_arabia_2015.pdf,of change order in project,mana,gement it can be recommended
mana,69,SBE,Construction_Management,2015,measuring_strategic_performance_in_construction_companies_2015.pdf,share a common idea about,mana,gement however each model using
ngowi,22,SBE,Construction_Management,2015,measuring_strategic_performance_in_construction_companies_2015.pdf,such model Rwelamila Talukhaba and,Ngowi,2000 argue that the failure
ori,21,SBE,Construction_Management,2015,measuring_strategic_performance_in_construction_companies_2015.pdf,a business excellence model that,ori,ginates from the combination of
reiterate,16,SBE,Construction_Management,2015,measuring_strategic_performance_in_construction_companies_2015.pdf,Aalbregtse Hejka and McNeley 1991,reiterate,the reasons for having frameworks
ake,19,SBE,Construction_Management,2015,the_new_zealand_construction_contracts_amendment_act_2015_for_better_or_worse_2015.pdf,as residential property owners m,ake,up a quarter of all
pape,18,SBE,Construction_Management,2016,clients_knowledge_of_procurement_systems_and_its_influence_on_construction_project_performance_2016.pdf,revised full papers These final,pape,rs were only included in
keane,17,SBE,Construction_Management,2016,decision_making_model_for_selecting_the_optimum_method_of_delay_analysis_in_construction_projects_2016.pdf,the risk of delayed completion,Keane,and Caletka 2008 This is
toa,25,SBE,Construction_Management,2016,determining_significant_risks_in_the_variability_between_design_stage_elemental_cost_plan_and_final_tender_sum_2016.pdf,these 78 responses which translate,toa,response rate of 43 This
wai,38,SBE,Construction_Management,2016,evaluating_the_budgetary_reliability_of_design_stage_elemental_cost_plan_in_building_procurement_2016.pdf,Oshodi Olalekan Shamsideen Lee Eric,Wai,Ming 14 Modeling The Relationship
ene,32,SBE,Construction_Management,2016,integrating_alternative_technologies_to_improve_built_environment_sustainability_in_africa_2016.pdf,Barron 2014 Urban sustainability considers,ene,rgy efficient buildings sustainable transportation
iea,23,SBE,Construction_Management,2016,integrating_alternative_technologies_to_improve_built_environment_sustainability_in_africa_2016.pdf,Energy Outlook 2014 Executive Summary,IEA,Publication Paris 208SASBE 5 3
arora,19,SBE,Construction_Management,2016,integrating_alternative_technologies_to_improve_built_environment_sustainability_in_africa_2016.pdf,A Weatherley A J and,Arora,M 2016 Key sustainability challenges
motu,20,SBE,Construction_Management,2016,integrating_augmented_reality_and_building_information_modelling_to_facilitate_construction_site_coordination_2016.pdf,N 2016 Retrieved from http,motu,www motu org nz wpapers
rami,20,SBE,Construction_Management,2016,risk_impact_assessments_in_project_budget_development_2016.pdf,construction projects globally theseﬁndings have,rami,ﬁcations for commercial projects by
kaka,19,SBE,Construction_Management,2016,strategies_to_minimise_the_effects_of_delayed_payments_2016.pdf,productivity On a similar note,Kaka,et al 2003 were of
toa,25,SBE,Construction_Management,2016,the_construction_contracts_act_and_its_implications_for_payment_defaults_in_new_zealand_2016.pdf,developers caused delays in payment,toa,substantial number of subcontractors and
kema,27,SBE,Construction_Management,2017,a_comprehensive_analysis_of_the_credits_obtained_by_leed_2009_certified_green_buildings_2017.pdf,to the State of California,Kema,Consultants Oakland 2003 34 Todd
pore,47,SBE,Construction_Management,2017,exploring_the_potential_of_offsite_construction_to_alleviate_constraints_to_house_building_in_western_australia_2017.pdf,along with the level of,pore,pressure is a significant consideration
mei,46,SBE,Construction_Management,2017,exploring_the_potential_of_offsite_construction_to_alleviate_constraints_to_house_building_in_western_australia_2017.pdf,s namely Maintenance efficiency indicator,MEI,Replacement efficiency indicator REI Condition
akaike,43,SBE,Construction_Management,2017,exploring_the_potential_of_offsite_construction_to_alleviate_constraints_to_house_building_in_western_australia_2017.pdf,model selection based on the,Akaike,Information Criterion AIC iv outlier
