term,corpus_count,School,Field,Year,PDF,left_context,matched_term,right_context
waikato,80,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,2018 Christchurch City Council 2019,Waikato,City Council 2018 Rotorua City
hao,75,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,1 65 83 Shen W,Hao,Q Mak H Neelamkavil J
tanaka,65,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,city Lynch 1960 Seidel Kim,Tanaka,2012 also explained how the
ara,63,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,2018 The way forward Te,Ara,I Mua An overview of
rotorua,57,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,2019 Waikato City Council 2018,Rotorua,City Council 2017 and Central
ani,54,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,Hamzah Khoiry Arshad Tawil Che,Ani,2011 Tumi et al 2009
ina,53,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,651 https doi 10 1111,ina,12116 Wallis S L Hernandez
porirua,52,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,BRANZ 2007 House building guide,Porirua,New Zealand Print link Petone
maori,51,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,In New Zealand people of,Maori,descent have many of these
mei,46,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,M Mohammed A Jaafar M,Mei,J Baba M 2017 Green
moreno,43,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,acoustic comfort Scannell Hodgson García,Moreno,Villarreal Gifford 2016 Classroom activity
māori,41,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,2003 Ngā kāhui Pou Launching,Māori,futures Gao S Vaz Serra
hira,30,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,as H S workforce training,HIRA,H S awareness and H
kiwi,25,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,Zealand as well as the,Kiwi,business and professionals that have
iea,23,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,GHG emissions International Energy Agency,IEA,and the United Nations Environment
rii,23,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,Moreover the relative importance index,RII,technique Tam and Le 2006
kauri,22,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,many materials such as old,kauri,floorboards it ensures that the
hoai,22,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,New Zealand 1Le An Thi,Hoai,2Domingo Niluka 3Rasheed Eziaku 4Park
ngowi,22,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,road and bridge construction projects,Ngowi,et al 2005 Mbachu 2009
amore,21,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,Hamer Adams A Ombler J,Amore,K 2015 What effect will
motu,20,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,player in the A league,Motu,Economic and Public Policy Research
mani,20,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,Mostafa Babaeian 3Yi Wen 4Poshdar,Mani,1 2 3School of Built
merino,19,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,in the European Union Sáez,Merino,Porras Amores 2011 The main
kaka,19,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,and Russell 2005 Ibrahim and,Kaka,2007 Resources and capabilities found
wou,18,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,2 2013 from http woulibrary,wou,edu my library pdf CIMPlan
ngai,18,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,integration of supply chain networks,Ngai,Cheng Ho 2004 Information technology
irani,17,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,Love P Edwards D J,Irani,Z and Walker D H
aei,43,SBE,Building_Technology,2020,comparing_the_effectiveness_of_fire_extinguisher_virtual_reality_and_video_training_2020.pdf,doi org 10 1016 j,aei,2018 08 018 Maddux JE
inoue,26,SBE,Building_Technology,2020,comparing_the_effectiveness_of_fire_extinguisher_virtual_reality_and_video_training_2020.pdf,can learn new skills effectively,Inoue,1999 Some scholars believed that
hone,16,SBE,Building_Technology,2020,comparing_the_effectiveness_of_fire_extinguisher_virtual_reality_and_video_training_2020.pdf,grateful to MAMMOTH VR and,HONE,Ltd for providing the license
pone,117,SBE,Building_Technology,2020,computational_quantification_of_brain_perivascular_space_morphologies_2020.pdf,doi org 10 1371 journal,pone,0105505 Zhu Y C Tzourio
akaike,43,SBE,Building_Technology,2020,computational_quantification_of_brain_perivascular_space_morphologies_2020.pdf,evaluate the models using the,Akaike,and Bayesian Information Criterion AIC
rahouti,29,SBE,Building_Technology,2020,evacuation_data_from_a_hospital_outpatient_drill_the_case_study_of_north_shore_hospital_2020.pdf,Parc 20 Mons Belgium anass,rahouti,umons ac be 2School of
ime,21,SBE,Building_Technology,2020,evacuation_data_from_a_hospital_outpatient_drill_the_case_study_of_north_shore_hospital_2020.pdf,simulations The pre movement t,ime,calculations showed differences in patient
ito,60,SBE,Building_Technology,2020,exposed_2020.pdf,ijchanges overtimeanditcanvaryfromzerowhentheagent j isinfrontofthe agent,ito,whentheagent j isrightbehindtheagent i t
moreno,43,SBE,Building_Technology,2020,exposed_2020.pdf,N Arenas A Gómez S,Moreno,Y Vespignani A 2011 Modeling
ine,66,SBE,Building_Technology,2020,glass_curtain_wall_technology_and_sustainability_in_commercial_buildings_in_auckland_new_zealand_2020.pdf,which can alter the sunsh,ine,and wind patterns on neighbouring
ene,32,SBE,Building_Technology,2020,glass_curtain_wall_technology_and_sustainability_in_commercial_buildings_in_auckland_new_zealand_2020.pdf,used to offset the HVAC,ene,rgy requirements H eat insulation
ime,21,SBE,Building_Technology,2020,glass_curtain_wall_technology_and_sustainability_in_commercial_buildings_in_auckland_new_zealand_2020.pdf,the unitized system over t,ime,Table 2 shows the staff
automa,17,SBE,Building_Technology,2020,glass_curtain_wall_technology_and_sustainability_in_commercial_buildings_in_auckland_new_zealand_2020.pdf,2017 Interactive glass façades with,automa,ted blind systems new electrochromic
