School,Field,Year,basename,phase1_candidate_count,phase2_candidate_count,excluded_candidate_count,word_count,phase1_density_per_10k,phase2_density_per_10k,period
SNS,Chemistry,2017,transparent_electrode_materials_and_methods_for_forming_same_2017.pdf,6,2,4,11266,5.325758920646192,1.7752529735487306,2017-2022
SNS,Chemistry,2018,dipole_formation_at_the_moo3_conjugated_polymer_interface_2018.pdf,0,0,0,141,0.0,0.0,2017-2022
SNS,Chemistry,2018,electronic_manipulation_of_the_agostic_and_syndetic_components_in_1_tetralone_oxime_and_imine_complexes_of_palladium_2018.pdf,11,6,5,9282,11.850894203835379,6.464124111182935,2017-2022
SNS,Chemistry,2018,improved_application_of_carbon_nanotube_atomic_force_microscopy_probes_using_peakforce_tapping_mode_2018.pdf,5,5,0,11077,4.513857542655954,4.513857542655954,2017-2022
SNS,Chemistry,2018,inhibiting_apobec3_activity_with_single_stranded_dna_containing_2_deoxyzebularine_analogues_2018.pdf,16,6,10,9497,16.847425502790355,6.3177845635463825,2017-2022
SNS,Chemistry,2018,investigation_into_the_behaviour_of_aluminium_and_steel_under_melt_freeze_cyclic_conditions_2018.pdf,2,1,1,6948,2.878526194588371,1.4392630972941856,2017-2022
SNS,Chemistry,2018,nonresonant_photons_catalyze_photodissociation_of_phenol_2018.pdf,6,2,4,6093,9.847365829640571,3.282455276546857,2017-2022
SNS,Chemistry,2018,on_the_growth_of_evaporated_lif_on_p3ht_and_pcbm_2018.pdf,0,0,0,172,0.0,0.0,2017-2022
SNS,Chemistry,2018,surface_chemical_characterisation_of_pyrite_exposed_to_acidithiobacillus_ferrooxidans_and_associated_extracellular_polymeric_substances_2018.pdf,11,7,4,9527,11.54613204576467,7.347538574577516,2017-2022
SNS,Chemistry,2018,the_oscillatory_adsorption_of_self_assembled_organosilane_films_on_aluminium_oxide_surfaces_2018.pdf,2,1,1,5277,3.7900322152738295,1.8950161076369147,2017-2022
SNS,Chemistry,2019,characterisation_of_the_material_and_mechanical_properties_of_atomic_force_microscope_cantilevers_with_a_plan_view_trapezoidal_geometry_2019.pdf,3,3,0,11415,2.628120893561104,2.628120893561104,2017-2022
SNS,Chemistry,2019,effects_of_pressure_and_ph_on_the_physical_stability_of_an_i_motif_dna_structure_2019.pdf,6,4,2,2884,20.804438280166433,13.869625520110958,2017-2022
SNS,Chemistry,2019,evaluation_of_the_agostic_and_syndetic_donations_in_aromatic_ring_agostic_interactions_involved_in_heteroatom_ligand_directed_c_h_bond_activation_2019.pdf,26,12,14,15208,17.096265123619148,7.890583903208837,2017-2022
SNS,Chemistry,2019,impact_of_puberty_and_age_on_adolescent_inhibition_over_time_2019.pdf,0,0,0,375,0.0,0.0,2017-2022
SNS,Chemistry,2019,laser_metal_deposition_and_wire_arc_additive_manufacturing_of_materials_2019.pdf,2,0,2,4192,4.770992366412213,0.0,2017-2022
SNS,Chemistry,2019,neutral_and_negatively_charged_phosphate_modifications_altering_thermal_stability_kinetics_of_formation_and_monovalent_ion_dependence_of_dna_g_quadruplexes_2019.pdf,15,10,5,5196,28.868360277136258,19.24557351809084,2017-2022
SNS,Chemistry,2019,scanning_auger_microscopy_studies_of_silane_films_grown_on_plasma_2019.pdf,3,1,2,6935,4.325883201153569,1.4419610670511898,2017-2022
SNS,Chemistry,2019,selective_inhibition_of_apobec3_enzymes_by_single_stranded_dnas_containing_2_deoxyzebularine_2019.pdf,14,9,5,6254,22.385673169171728,14.39078989446754,2017-2022
SNS,Chemistry,2019,spectroscopic_investigation_of_praseodymium_and_cerium_co_doped_20al_3_80lif_glass_for_potential_scintillator_applications_2019.pdf,37,31,6,5239,70.6241649169689,59.171597633136095,2017-2022
SNS,Chemistry,2019,the_oscillatory_adsorption_of_organosilane_films_on_aluminium_oxide_2019.pdf,2,2,0,3362,5.94883997620464,5.94883997620464,2017-2022
SNS,Chemistry,2019,the_role_of_physisorption_and_chemisorption_in_the_oscillatory_adsorption_of_organosilanes_on_aluminium_oxide_2019.pdf,1,1,0,7100,1.4084507042253522,1.4084507042253522,2017-2022
SNS,Chemistry,2019,understanding_the_potential_of_microwave_sintering_on_wc_co_2019.pdf,1,0,1,1840,5.434782608695652,0.0,2017-2022
