Unnamed: 0,File,School,Field,Year,File_Path,Maori_words
30,calibrating_cellular_automaton_models_for_pedestrians_walking_through_corners_2018.pdf,SBE,Building_Technology,2018,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2018\calibrating_cellular_automaton_models_for_pedestrians_walking_through_corners_2018.pdf,"automata, kimura, automata"
31,clinical_validation_of_automatic_quantitative_measurements_of_perivascular_spaces_in_older_age_mri_brain_data_2018.pdf,SBE,Building_Technology,2018,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2018\clinical_validation_of_automatic_quantitative_measurements_of_perivascular_spaces_in_older_age_mri_brain_data_2018.pdf,
32,immersive_virtual_reality_serious_games_for_evacuation_training_and_research_2018.pdf,SBE,Building_Technology,2018,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2018\immersive_virtual_reality_serious_games_for_evacuation_training_and_research_2018.pdf,"pape, neira, ere, aoki, eme"
33,investigating_pedestrian_navigation_in_indoor_open_space_environments_using_big_data_2018.pdf,SBE,Building_Technology,2018,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2018\investigating_pedestrian_navigation_in_indoor_open_space_environments_using_big_data_2018.pdf,"tiwari, peri, pai, automata, tanaka, mahato, hepara, kuwahara"
34,people_choice_modelling_for_evacuation_of_tall_buildings_2018.pdf,SBE,Building_Technology,2018,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2018\people_choice_modelling_for_evacuation_of_tall_buildings_2018.pdf,"reneke, torero, ata, omori"
35,prototyping_virtual_reality_serious_games_for_earthquake_preparedness_2018.pdf,SBE,Building_Technology,2018,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2018\prototyping_virtual_reality_serious_games_for_earthquake_preparedness_2018.pdf,"ine, roa, koike, miura, rooke, aei, animate, māori, takimoto, ome, rahouti"
36,queue_formation_and_evacuation_modelling_in_road_tunnels_during_fires_2018.pdf,SBE,Building_Technology,2018,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2018\queue_formation_and_evacuation_modelling_in_road_tunnels_during_fires_2018.pdf,"reneke, ite, taoka, paramete"
37,a_modelling_framework_for_householder_decision_making_for_wildfire_emergencies_2019.pdf,SBE,Building_Technology,2019,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2019\a_modelling_framework_for_householder_decision_making_for_wildfire_emergencies_2019.pdf,"riate, reneke, tute, enginee, ome, aime, ue, kou, opie, pii, urata, wui, uite, whe, ime, hou, ike, ariate"
38,a_pre_evacuation_database_for_use_in_egress_simulations_2019.pdf,SBE,Building_Technology,2019,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2019\a_pre_evacuation_database_for_use_in_egress_simulations_2019.pdf,"iei, pineau, meanitiei, retana, reneke, ikea"
39,computational_quantification_of_brain_perivascular_space_morphologies_2019.pdf,SBE,Building_Technology,2019,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2019\computational_quantification_of_brain_perivascular_space_morphologies_2019.pdf,"ome, ere, akaike, pii, pone, ure, neto"
